cust_account_id,party_id,account_number,account_name,payment_term_code,region_code,account_status
300000037,100000037,CUST300000037,上海嘉禾制造制造有限公司,NET30,上海,ACTIVE
300000038,100000038,CUST300000038,杭州明川医疗供应链有限公司,NET30,上海,ACTIVE
300000039,100000039,CUST300000039,杭州华盛物流科技有限公司,PREPAID,北京,ACTIVE
300000040,100000040,CUST300000040,北京云启制造供应链有限公司,PREPAID,杭州,ACTIVE
300000041,100000041,CUST300000041,苏州嘉禾电子供应链有限公司,NET30,深圳,ACTIVE
300000042,100000042,CUST300000042,北京华盛供应链供应链有限公司,NET30,杭州,ACTIVE
300000043,100000043,CUST300000043,北京安拓电子科技有限公司,NET90,苏州,ACTIVE
300000044,100000044,CUST300000044,杭州明川科技制造有限公司,NET30,深圳,ACTIVE
300000045,100000045,CUST300000045,苏州恒越电子供应链有限公司,NET30,杭州,ACTIVE
300000046,100000046,CUST300000046,杭州安拓科技贸易有限公司,NET30,上海,ACTIVE
300000047,100000047,CUST300000047,苏州融信物流贸易有限公司,NET30,杭州,ACTIVE
300000048,100000048,CUST300000048,苏州嘉禾电子供应链有限公司,NET90,杭州,ACTIVE
300000049,100000049,CUST300000049,陈敏,NET30,深圳,ACTIVE
300000050,100000050,CUST300000050,北京融信供应链贸易有限公司,NET60,上海,ACTIVE
300000051,100000051,CUST300000051,上海融信贸易供应链有限公司,NET30,上海,ACTIVE
300000052,100000052,CUST300000052,苏州恒越制造供应链有限公司,NET60,深圳,ACTIVE
300000053,100000053,CUST300000053,苏州明川供应链科技有限公司,NET90,杭州,ACTIVE
300000054,100000054,CUST300000054,吴超,NET30,杭州,ACTIVE
300000055,100000055,CUST300000055,杭州远辰科技有限公司,NET60,北京,ACTIVE
300000056,100000056,CUST300000056,杭州启元供应链科技有限公司,NET30,苏州,ACTIVE
300000057,100000057,CUST300000057,北京智联医疗有限公司,NET60,苏州,ACTIVE
300000058,100000058,CUST300000058,深圳融信供应链制造有限公司,PREPAID,杭州,ACTIVE
300000059,100000059,CUST300000059,上海恒越贸易科技有限公司,NET30,北京,ACTIVE
300000060,100000060,CUST300000060,上海智联材料贸易有限公司,NET90,深圳,ACTIVE
300000061,100000061,CUST300000061,上海远辰贸易制造有限公司,NET60,北京,ACTIVE
300000062,100000062,CUST300000062,苏州启元物流科技有限公司,NET60,深圳,ACTIVE
300000063,100000063,CUST300000063,杭州远辰电子制造有限公司,NET30,深圳,ACTIVE
300000064,100000064,CUST300000064,杭州安拓医疗供应链有限公司,NET90,杭州,ACTIVE
300000065,100000065,CUST300000065,深圳安拓贸易贸易有限公司,NET30,上海,ACTIVE
300000066,100000066,CUST300000066,深圳恒越供应链有限公司,NET30,深圳,ACTIVE
300000067,100000067,CUST300000067,深圳启元供应链制造有限公司,NET30,杭州,ACTIVE
300000068,100000068,CUST300000068,苏州明川科技供应链有限公司,NET60,深圳,ACTIVE
300000069,100000069,CUST300000069,杭州安拓材料科技有限公司,PREPAID,深圳,ACTIVE
300000070,100000070,CUST300000070,苏州启元电子制造有限公司,NET90,北京,ACTIVE
300000071,100000071,CUST300000071,深圳恒越医疗制造有限公司,NET60,北京,ACTIVE
300000072,100000072,CUST300000072,杭州华盛材料有限公司,NET30,杭州,ACTIVE
300000073,100000073,CUST300000073,深圳远辰材料贸易有限公司,NET30,上海,ACTIVE
300000074,100000074,CUST300000074,深圳融信医疗制造有限公司,NET60,杭州,ACTIVE
300000075,100000075,CUST300000075,北京融信物流供应链有限公司,NET90,深圳,ACTIVE
300000076,100000076,CUST300000076,苏州嘉禾贸易贸易有限公司,NET60,深圳,ACTIVE
300000077,100000077,CUST300000077,王娜琳,NET30,杭州,ACTIVE
300000078,100000078,CUST300000078,杭州恒越制造制造有限公司,NET30,苏州,ACTIVE
300000079,100000079,CUST300000079,杭州恒越贸易科技有限公司,NET30,北京,ACTIVE
300000080,100000080,CUST300000080,深圳明川物流科技有限公司,NET30,苏州,ACTIVE
300000081,100000081,CUST300000081,苏州融信贸易科技有限公司,NET60,上海,ACTIVE
300000082,100000082,CUST300000082,苏州华盛贸易贸易有限公司,NET90,上海,ACTIVE
300000083,100000083,CUST300000083,深圳华盛材料科技有限公司,NET30,上海,ACTIVE
300000084,100000084,CUST300000084,深圳远辰供应链贸易有限公司,NET30,北京,ACTIVE
300000085,100000085,CUST300000085,北京恒越材料制造有限公司,NET30,苏州,ACTIVE
300000086,100000086,CUST300000086,上海启元医疗科技有限公司,NET30,上海,ACTIVE
300000087,100000087,CUST300000087,北京安拓供应链制造有限公司,PREPAID,深圳,ACTIVE
300000088,100000088,CUST300000088,深圳启元电子制造有限公司,NET30,上海,ACTIVE
300000089,100000089,CUST300000089,杭州远辰物流供应链有限公司,NET30,深圳,ACTIVE
300000090,100000090,CUST300000090,深圳安拓医疗科技有限公司,NET30,上海,ACTIVE
300000091,100000091,CUST300000091,上海明川材料贸易有限公司,NET30,深圳,ACTIVE
300000092,100000092,CUST300000092,深圳安拓制造贸易有限公司,NET60,上海,ACTIVE
300000093,100000093,CUST300000093,北京云启医疗供应链有限公司,NET30,杭州,ACTIVE
300000094,100000094,CUST300000094,上海智联物流科技有限公司,NET30,苏州,ACTIVE
300000095,100000095,CUST300000095,深圳智联材料科技有限公司,NET30,深圳,ACTIVE
300000096,100000096,CUST300000096,杭州智联材料有限公司,NET90,北京,ACTIVE
300000097,100000097,CUST300000097,北京嘉禾医疗科技有限公司,NET30,深圳,ACTIVE
300000098,100000098,CUST300000098,杭州明川材料科技有限公司,NET30,杭州,ACTIVE
300000099,100000099,CUST300000099,北京云启供应链科技有限公司,NET60,上海,ACTIVE
300000100,100000100,CUST300000100,苏州远辰制造贸易有限公司,NET30,上海,ACTIVE
300000101,100000101,CUST300000101,上海安拓材料有限公司,NET90,上海,ACTIVE
300000102,100000102,CUST300000102,苏州启元物流有限公司,NET30,北京,ACTIVE
300000103,100000103,CUST300000103,苏州华盛电子贸易有限公司,PREPAID,杭州,ACTIVE
300000104,100000104,CUST300000104,苏州远辰供应链贸易有限公司,NET30,北京,ACTIVE
300000105,100000105,CUST300000105,苏州云启医疗供应链有限公司,NET60,苏州,ACTIVE
300000106,100000106,CUST300000106,苏州安拓贸易制造有限公司,NET60,深圳,ACTIVE
300000107,100000107,CUST300000107,上海嘉禾制造供应链有限公司,NET90,苏州,ACTIVE
300000108,100000108,CUST300000108,深圳智联贸易贸易有限公司,NET30,苏州,ACTIVE
300000109,100000109,CUST300000109,苏州智联医疗供应链有限公司,NET90,上海,ACTIVE
300000110,100000110,CUST300000110,北京明川材料贸易有限公司,NET90,北京,ACTIVE
300000111,100000111,CUST300000111,苏州智联电子有限公司,PREPAID,杭州,ACTIVE
300000112,100000112,CUST300000112,苏州安拓供应链贸易有限公司,NET90,北京,ACTIVE
300000113,100000113,CUST300000113,杭州恒越物流供应链有限公司,NET60,北京,ACTIVE
300000114,100000114,CUST300000114,上海远辰贸易制造有限公司,NET30,深圳,ACTIVE
300000115,100000115,CUST300000115,杭州启元电子科技有限公司,NET60,杭州,ACTIVE
300000116,100000116,CUST300000116,北京远辰供应链供应链有限公司,NET30,上海,ACTIVE
300000117,100000117,CUST300000117,北京融信电子贸易有限公司,NET30,上海,ACTIVE
300000118,100000118,CUST300000118,上海恒越物流科技有限公司,NET30,杭州,ACTIVE
300000119,100000119,CUST300000119,苏州远辰制造科技有限公司,NET30,苏州,ACTIVE
300000120,100000120,CUST300000120,苏州华盛科技有限公司,NET90,北京,ACTIVE
300000121,100000121,CUST300000121,胡伟杰,NET30,深圳,ACTIVE
300000122,100000122,CUST300000122,深圳云启供应链供应链有限公司,NET30,上海,ACTIVE
300000123,100000123,CUST300000123,杭州远辰电子贸易有限公司,PREPAID,上海,ACTIVE
300000124,100000124,CUST300000124,杭州嘉禾医疗有限公司,NET30,上海,ACTIVE
300000125,100000125,CUST300000125,深圳恒越贸易科技有限公司,NET30,上海,ACTIVE
300000126,100000126,CUST300000126,北京智联电子贸易有限公司,NET60,杭州,ACTIVE
300000127,100000127,CUST300000127,北京明川材料贸易有限公司,NET60,苏州,ACTIVE
300000128,100000128,CUST300000128,深圳恒越物流制造有限公司,NET30,苏州,ACTIVE
300000129,100000129,CUST300000129,深圳嘉禾科技供应链有限公司,NET30,杭州,ACTIVE
300000130,100000130,CUST300000130,上海云启物流有限公司,NET30,苏州,ACTIVE
300000131,100000131,CUST300000131,北京云启供应链贸易有限公司,NET30,深圳,ACTIVE
300000132,100000132,CUST300000132,苏州安拓电子贸易有限公司,PREPAID,杭州,ACTIVE
300000133,100000133,CUST300000133,上海明川制造有限公司,NET30,北京,ACTIVE
300000134,100000134,CUST300000134,杭州恒越物流贸易有限公司,NET30,苏州,ACTIVE
300000135,100000135,CUST300000135,深圳华盛医疗有限公司,NET90,深圳,ACTIVE
300000136,100000136,CUST300000136,北京远辰科技贸易有限公司,NET30,杭州,ACTIVE
300000137,100000137,CUST300000137,北京恒越贸易供应链有限公司,PREPAID,深圳,ACTIVE
300000138,100000138,CUST300000138,杭州华盛物流制造有限公司,NET60,杭州,ACTIVE
300000139,100000139,CUST300000139,深圳融信材料有限公司,NET90,上海,ACTIVE
300000140,100000140,CUST300000140,杭州智联材料制造有限公司,NET30,上海,ACTIVE
300000141,100000141,CUST300000141,上海明川材料科技有限公司,NET30,深圳,ACTIVE
300000142,100000142,CUST300000142,胡斌,NET30,北京,ACTIVE
300000143,100000143,CUST300000143,杭州明川电子制造有限公司,NET30,上海,ACTIVE
300000144,100000144,CUST300000144,北京华盛材料科技有限公司,NET30,深圳,ACTIVE
300000145,100000145,CUST300000145,苏州明川物流科技有限公司,NET30,北京,ACTIVE
300000146,100000146,CUST300000146,深圳智联物流贸易有限公司,NET30,北京,ACTIVE
300000147,100000147,CUST300000147,张斌敏,NET90,苏州,ACTIVE
300000148,100000148,CUST300000148,深圳明川电子制造有限公司,NET30,苏州,ACTIVE
300000149,100000149,CUST300000149,深圳安拓医疗制造有限公司,PREPAID,苏州,ACTIVE
300000150,100000150,CUST300000150,北京安拓贸易有限公司,NET30,杭州,ACTIVE
300000151,100000151,CUST300000151,北京融信物流有限公司,NET90,杭州,ACTIVE
300000152,100000152,CUST300000152,杭州嘉禾医疗供应链有限公司,NET30,深圳,ACTIVE
300000153,100000153,CUST300000153,深圳云启贸易贸易有限公司,NET30,上海,ACTIVE
300000154,100000154,CUST300000154,苏州远辰科技供应链有限公司,NET60,苏州,ACTIVE
300000155,100000155,CUST300000155,杭州融信制造制造有限公司,NET30,杭州,ACTIVE
300000156,100000156,CUST300000156,北京云启电子供应链有限公司,NET30,上海,ACTIVE
300000157,100000157,CUST300000157,深圳云启材料制造有限公司,NET30,杭州,ACTIVE
300000158,100000158,CUST300000158,上海嘉禾科技有限公司,NET90,杭州,ACTIVE
300000159,100000159,CUST300000159,北京恒越供应链科技有限公司,NET30,北京,ACTIVE
300000160,100000160,CUST300000160,深圳云启科技有限公司,NET30,北京,ACTIVE
300000161,100000161,CUST300000161,上海明川医疗有限公司,NET30,北京,ACTIVE
300000162,100000162,CUST300000162,上海安拓制造有限公司,NET30,深圳,ACTIVE
300000163,100000163,CUST300000163,深圳云启制造科技有限公司,NET30,北京,ACTIVE
300000164,100000164,CUST300000164,深圳远辰电子供应链有限公司,PREPAID,北京,ACTIVE
300000165,100000165,CUST300000165,上海华盛供应链制造有限公司,NET90,上海,ACTIVE
300000166,100000166,CUST300000166,深圳安拓贸易科技有限公司,NET90,苏州,ACTIVE
300000167,100000167,CUST300000167,北京云启科技有限公司,NET90,上海,ACTIVE
300000168,100000168,CUST300000168,深圳明川供应链有限公司,NET30,苏州,ACTIVE
300000169,100000169,CUST300000169,深圳智联科技贸易有限公司,PREPAID,北京,ACTIVE
300000170,100000170,CUST300000170,上海智联物流贸易有限公司,NET90,杭州,ACTIVE
300000171,100000171,CUST300000171,苏州远辰制造贸易有限公司,PREPAID,苏州,ACTIVE
300000172,100000172,CUST300000172,杭州启元医疗科技有限公司,NET30,苏州,ACTIVE
300000173,100000173,CUST300000173,深圳云启医疗科技有限公司,NET30,北京,ACTIVE
300000174,100000174,CUST300000174,上海启元制造科技有限公司,NET30,苏州,ACTIVE
300000175,100000175,CUST300000175,上海远辰物流贸易有限公司,PREPAID,深圳,ACTIVE
300000176,100000176,CUST300000176,杭州云启贸易供应链有限公司,NET30,深圳,ACTIVE
300000177,100000177,CUST300000177,深圳嘉禾供应链供应链有限公司,NET30,杭州,ACTIVE
300000178,100000178,CUST300000178,北京智联材料供应链有限公司,NET30,深圳,ACTIVE
300000179,100000179,CUST300000179,深圳安拓制造贸易有限公司,NET60,北京,ACTIVE
300000180,100000180,CUST300000180,苏州嘉禾贸易科技有限公司,NET60,上海,ACTIVE
300000181,100000181,CUST300000181,苏州远辰供应链有限公司,NET90,深圳,ACTIVE
300000182,100000182,CUST300000182,苏州远辰贸易供应链有限公司,NET60,苏州,ACTIVE
300000183,100000183,CUST300000183,上海嘉禾科技贸易有限公司,NET60,上海,ACTIVE
300000184,100000184,CUST300000184,上海远辰材料科技有限公司,NET30,上海,ACTIVE
300000185,100000185,CUST300000185,北京云启科技制造有限公司,NET30,上海,ACTIVE
300000186,100000186,CUST300000186,苏州安拓材料贸易有限公司,NET30,杭州,ACTIVE
300000187,100000187,CUST300000187,北京嘉禾制造供应链有限公司,NET30,深圳,ACTIVE
300000188,100000188,CUST300000188,杭州安拓材料供应链有限公司,NET60,北京,ACTIVE
300000189,100000189,CUST300000189,朱敏,PREPAID,上海,ACTIVE
300000190,100000190,CUST300000190,北京嘉禾材料供应链有限公司,NET30,上海,ACTIVE
300000191,100000191,CUST300000191,苏州智联贸易有限公司,NET30,上海,ACTIVE
300000192,100000192,CUST300000192,北京远辰电子科技有限公司,NET30,杭州,ACTIVE
300000193,100000193,CUST300000193,杭州恒越电子贸易有限公司,PREPAID,北京,ACTIVE
300000194,100000194,CUST300000194,深圳恒越供应链有限公司,PREPAID,深圳,ACTIVE
300000195,100000195,CUST300000195,杭州安拓物流贸易有限公司,NET60,杭州,ACTIVE
300000196,100000196,CUST300000196,上海云启材料有限公司,NET30,北京,ACTIVE
300000197,100000197,CUST300000197,杭州华盛医疗科技有限公司,NET30,杭州,ACTIVE
300000198,100000198,CUST300000198,北京恒越贸易供应链有限公司,NET60,上海,ACTIVE
300000199,100000199,CUST300000199,深圳融信材料制造有限公司,NET30,深圳,ACTIVE
300000200,100000200,CUST300000200,北京启元材料科技有限公司,NET30,上海,ACTIVE
300000201,100000201,CUST300000201,苏州安拓医疗制造有限公司,NET30,上海,ACTIVE
300000202,100000202,CUST300000202,刘军,NET30,杭州,ACTIVE
300000203,100000203,CUST300000203,上海华盛物流有限公司,PREPAID,苏州,ACTIVE
300000204,100000204,CUST300000204,杭州启元电子科技有限公司,NET30,深圳,ACTIVE
300000205,100000205,CUST300000205,杭州远辰制造有限公司,NET60,苏州,ACTIVE
300000206,100000206,CUST300000206,深圳安拓医疗制造有限公司,PREPAID,杭州,ACTIVE
300000207,100000207,CUST300000207,杭州智联物流供应链有限公司,NET60,北京,ACTIVE
300000208,100000208,CUST300000208,苏州华盛材料科技有限公司,NET30,杭州,ACTIVE
300000209,100000209,CUST300000209,深圳恒越电子科技有限公司,NET90,北京,ACTIVE
300000210,100000210,CUST300000210,杭州安拓物流制造有限公司,NET30,杭州,ACTIVE
300000211,100000211,CUST300000211,上海明川物流科技有限公司,NET30,深圳,ACTIVE
300000212,100000212,CUST300000212,杭州安拓供应链制造有限公司,NET60,苏州,ACTIVE
300000213,100000213,CUST300000213,北京启元制造有限公司,PREPAID,北京,ACTIVE
300000214,100000214,CUST300000214,杭州融信材料贸易有限公司,NET30,苏州,ACTIVE
300000215,100000215,CUST300000215,上海华盛医疗有限公司,NET60,上海,ACTIVE
300000216,100000216,CUST300000216,苏州明川供应链贸易有限公司,NET60,杭州,ACTIVE
300000217,100000217,CUST300000217,杭州融信物流贸易有限公司,NET90,杭州,ACTIVE
300000218,100000218,CUST300000218,北京安拓物流有限公司,NET30,苏州,ACTIVE
300000219,100000219,CUST300000219,北京恒越制造科技有限公司,NET60,上海,ACTIVE
300000220,100000220,CUST300000220,马娜,NET30,苏州,ACTIVE
300000221,100000221,CUST300000221,北京安拓电子科技有限公司,NET30,北京,ACTIVE
300000222,100000222,CUST300000222,上海嘉禾供应链科技有限公司,NET60,北京,ACTIVE
300000223,100000223,CUST300000223,北京云启供应链科技有限公司,NET30,杭州,ACTIVE
300000224,100000224,CUST300000224,上海启元材料贸易有限公司,NET30,杭州,ACTIVE
300000225,100000225,CUST300000225,苏州明川科技制造有限公司,NET30,北京,ACTIVE
300000226,100000226,CUST300000226,北京远辰科技制造有限公司,NET30,苏州,ACTIVE
300000227,100000227,CUST300000227,杭州智联供应链贸易有限公司,NET30,苏州,ACTIVE
300000228,100000228,CUST300000228,上海远辰贸易有限公司,NET30,深圳,ACTIVE
300000229,100000229,CUST300000229,上海华盛供应链贸易有限公司,NET30,深圳,ACTIVE
300000230,100000230,CUST300000230,北京嘉禾供应链科技有限公司,NET60,北京,ACTIVE
300000231,100000231,CUST300000231,北京安拓科技科技有限公司,PREPAID,北京,ACTIVE
300000232,100000232,CUST300000232,北京安拓电子贸易有限公司,NET30,上海,ACTIVE
300000233,100000233,CUST300000233,北京融信制造供应链有限公司,NET30,深圳,ACTIVE
300000234,100000234,CUST300000234,吴伟颖,NET60,深圳,ACTIVE
300000235,100000235,CUST300000235,陈磊,NET60,深圳,ACTIVE
300000236,100000236,CUST300000236,深圳明川医疗制造有限公司,NET60,北京,ACTIVE
300000237,100000237,CUST300000237,北京华盛医疗供应链有限公司,NET90,苏州,ACTIVE
300000238,100000238,CUST300000238,杭州华盛物流供应链有限公司,NET30,苏州,ACTIVE
300000239,100000239,CUST300000239,深圳远辰供应链制造有限公司,NET90,北京,ACTIVE
300000240,100000240,CUST300000240,杭州华盛贸易制造有限公司,NET60,杭州,ACTIVE
300000241,100000241,CUST300000241,苏州嘉禾医疗科技有限公司,PREPAID,深圳,ACTIVE
300000242,100000242,CUST300000242,杭州嘉禾科技供应链有限公司,NET30,上海,ACTIVE
300000243,100000243,CUST300000243,苏州融信贸易供应链有限公司,NET60,苏州,ACTIVE
300000244,100000244,CUST300000244,苏州融信材料有限公司,NET30,北京,ACTIVE
300000245,100000245,CUST300000245,苏州安拓材料科技有限公司,NET30,杭州,ACTIVE
300000246,100000246,CUST300000246,上海华盛制造贸易有限公司,NET60,深圳,ACTIVE
300000247,100000247,CUST300000247,苏州融信供应链科技有限公司,NET30,深圳,ACTIVE
300000248,100000248,CUST300000248,深圳明川供应链科技有限公司,NET60,深圳,ACTIVE
300000249,100000249,CUST300000249,上海云启物流科技有限公司,NET30,深圳,ACTIVE
300000250,100000250,CUST300000250,北京远辰供应链贸易有限公司,NET60,苏州,ACTIVE
300000251,100000251,CUST300000251,上海智联制造供应链有限公司,NET60,上海,ACTIVE
300000252,100000252,CUST300000252,苏州明川材料有限公司,NET60,上海,ACTIVE
300000253,100000253,CUST300000253,北京恒越医疗制造有限公司,NET60,上海,ACTIVE
300000254,100000254,CUST300000254,上海启元医疗制造有限公司,NET90,深圳,ACTIVE
300000255,100000255,CUST300000255,上海远辰材料供应链有限公司,NET30,杭州,ACTIVE
300000256,100000256,CUST300000256,北京安拓医疗科技有限公司,PREPAID,北京,ACTIVE
300000257,100000257,CUST300000257,苏州明川医疗贸易有限公司,NET90,杭州,ACTIVE
300000258,100000258,CUST300000258,深圳云启电子有限公司,NET60,杭州,ACTIVE
300000259,100000259,CUST300000259,苏州启元制造有限公司,NET60,深圳,ACTIVE
300000260,100000260,CUST300000260,苏州明川科技有限公司,NET30,苏州,ACTIVE
300000261,100000261,CUST300000261,深圳融信供应链有限公司,NET60,北京,ACTIVE
300000262,100000262,CUST300000262,杭州启元物流有限公司,NET60,苏州,ACTIVE
300000263,100000263,CUST300000263,北京云启科技制造有限公司,PREPAID,深圳,ACTIVE
300000264,100000264,CUST300000264,杭州云启制造有限公司,NET90,深圳,ACTIVE
300000265,100000265,CUST300000265,苏州嘉禾科技贸易有限公司,NET30,深圳,ACTIVE
300000266,100000266,CUST300000266,深圳远辰电子贸易有限公司,NET30,北京,ACTIVE
300000267,100000267,CUST300000267,苏州恒越物流有限公司,NET30,杭州,ACTIVE
300000268,100000268,CUST300000268,苏州启元供应链供应链有限公司,NET60,上海,ACTIVE
300000269,100000269,CUST300000269,深圳恒越供应链有限公司,NET30,北京,ACTIVE
300000270,100000270,CUST300000270,杭州恒越制造有限公司,PREPAID,深圳,ACTIVE
300000271,100000271,CUST300000271,深圳智联材料科技有限公司,PREPAID,北京,ACTIVE
300000272,100000272,CUST300000272,马颖,NET30,深圳,ACTIVE
300000273,100000273,CUST300000273,深圳安拓材料科技有限公司,PREPAID,北京,ACTIVE
300000274,100000274,CUST300000274,杭州明川贸易有限公司,NET60,苏州,ACTIVE
300000275,100000275,CUST300000275,杭州嘉禾贸易制造有限公司,NET60,上海,ACTIVE
300000276,100000276,CUST300000276,北京明川电子供应链有限公司,NET30,苏州,ACTIVE
300000277,100000277,CUST300000277,深圳云启供应链贸易有限公司,NET30,北京,ACTIVE
300000278,100000278,CUST300000278,深圳远辰贸易制造有限公司,NET30,杭州,ACTIVE
300000279,100000279,CUST300000279,苏州恒越制造制造有限公司,NET60,杭州,ACTIVE
300000280,100000280,CUST300000280,深圳安拓科技科技有限公司,NET60,深圳,ACTIVE
300000281,100000281,CUST300000281,深圳融信物流科技有限公司,NET30,上海,ACTIVE
300000282,100000282,CUST300000282,北京安拓医疗科技有限公司,PREPAID,北京,ACTIVE
300000283,100000283,CUST300000283,苏州智联制造贸易有限公司,NET30,上海,ACTIVE
300000284,100000284,CUST300000284,苏州智联制造供应链有限公司,PREPAID,杭州,ACTIVE
300000285,100000285,CUST300000285,杭州华盛科技科技有限公司,NET60,杭州,ACTIVE
300000286,100000286,CUST300000286,苏州启元医疗制造有限公司,PREPAID,上海,ACTIVE
300000287,100000287,CUST300000287,上海融信电子供应链有限公司,PREPAID,深圳,ACTIVE
300000288,100000288,CUST300000288,杭州嘉禾医疗科技有限公司,NET30,深圳,ACTIVE
300000289,100000289,CUST300000289,深圳明川电子贸易有限公司,NET30,杭州,ACTIVE
300000290,100000290,CUST300000290,杭州启元制造贸易有限公司,NET30,深圳,ACTIVE
300000291,100000291,CUST300000291,苏州启元科技有限公司,PREPAID,深圳,ACTIVE
300000292,100000292,CUST300000292,北京明川物流供应链有限公司,NET30,深圳,ACTIVE
300000293,100000293,CUST300000293,北京恒越材料贸易有限公司,NET60,北京,ACTIVE
300000294,100000294,CUST300000294,北京华盛贸易科技有限公司,NET30,上海,ACTIVE
300000295,100000295,CUST300000295,深圳智联材料制造有限公司,NET30,北京,ACTIVE
300000296,100000296,CUST300000296,上海安拓材料贸易有限公司,NET30,上海,ACTIVE
300000297,100000297,CUST300000297,苏州智联电子供应链有限公司,PREPAID,苏州,ACTIVE
300000298,100000298,CUST300000298,北京启元科技供应链有限公司,NET30,苏州,ACTIVE
300000299,100000299,CUST300000299,深圳融信供应链制造有限公司,NET30,苏州,ACTIVE
300000300,100000300,CUST300000300,苏州智联贸易科技有限公司,NET30,苏州,ACTIVE
300000301,100000301,CUST300000301,深圳融信供应链制造有限公司,NET30,杭州,ACTIVE
300000302,100000302,CUST300000302,杭州启元材料供应链有限公司,NET60,北京,ACTIVE
300000303,100000303,CUST300000303,深圳智联贸易有限公司,NET30,杭州,ACTIVE
300000304,100000304,CUST300000304,杭州远辰电子科技有限公司,NET60,苏州,ACTIVE
300000305,100000305,CUST300000305,李磊,PREPAID,杭州,ACTIVE
300000306,100000306,CUST300000306,杭州启元供应链科技有限公司,NET60,苏州,ACTIVE
300000307,100000307,CUST300000307,北京云启科技科技有限公司,NET60,杭州,ACTIVE
300000308,100000308,CUST300000308,杭州启元制造贸易有限公司,PREPAID,苏州,ACTIVE
300000309,100000309,CUST300000309,朱倩娜,NET60,杭州,ACTIVE
300000310,100000310,CUST300000310,苏州嘉禾物流科技有限公司,NET30,杭州,ACTIVE
300000311,100000311,CUST300000311,苏州明川电子贸易有限公司,NET30,苏州,ACTIVE
300000312,100000312,CUST300000312,杨婷颖,PREPAID,北京,ACTIVE
300000313,100000313,CUST300000313,苏州融信贸易供应链有限公司,NET30,苏州,ACTIVE
300000314,100000314,CUST300000314,北京云启材料制造有限公司,NET30,上海,ACTIVE
300000315,100000315,CUST300000315,深圳融信制造供应链有限公司,NET30,杭州,ACTIVE
