employee_id,employee_no,employee_name,department_name,role_code,title_name,region_code,status
800000073,EMP800000073,郭磊凯,华东销售部,CREDIT,专员,华东,ACTIVE
800000074,EMP800000074,黄婷,应收管理部,APPROVER,专员,西南,ACTIVE
800000075,EMP800000075,吴艳勇,风险控制部,CREDIT,专员,华北,ACTIVE
800000076,EMP800000076,赵伟,华南销售部,FINANCE,专员,西南,ACTIVE
800000077,EMP800000077,李琳,华东销售部,CREDIT,专员,西南,ACTIVE
800000078,EMP800000078,朱勇勇,风险控制部,CREDIT,专员,华北,ACTIVE
800000079,EMP800000079,马勇军,信用管理部,SALES,专员,华南,ACTIVE
800000080,EMP800000080,吴伟艳,信用管理部,CREDIT,专员,华南,ACTIVE
800000081,EMP800000081,孙娜军,信用管理部,SALES,专员,华南,ACTIVE
800000082,EMP800000082,周婷峰,信用管理部,SALES,专员,华南,ACTIVE
800000083,EMP800000083,朱凯,财务共享中心,FINANCE,专员,华北,ACTIVE
800000084,EMP800000084,张雪洋,华南销售部,SALES,专员,华北,ACTIVE
800000085,EMP800000085,黄峰,华南销售部,SALES,专员,华北,ACTIVE
800000086,EMP800000086,赵伟,风险控制部,SALES,专员,华南,ACTIVE
800000087,EMP800000087,王琳,财务共享中心,CREDIT,专员,西南,ACTIVE
800000088,EMP800000088,吴勇,华东销售部,FINANCE,专员,华北,ACTIVE
800000089,EMP800000089,王超磊,华南销售部,APPROVER,专员,西南,ACTIVE
800000090,EMP800000090,王琳洋,风险控制部,SALES,专员,华北,ACTIVE
800000091,EMP800000091,李敏,华东销售部,FINANCE,专员,华北,ACTIVE
800000092,EMP800000092,李洋,财务共享中心,FINANCE,专员,华北,ACTIVE
800000093,EMP800000093,王雪超,华东销售部,FINANCE,专员,华东,ACTIVE
800000094,EMP800000094,胡颖斌,信用管理部,APPROVER,专员,华东,ACTIVE
800000095,EMP800000095,朱婷,华南销售部,SALES,专员,华南,ACTIVE
800000096,EMP800000096,马峰,华东销售部,CREDIT,专员,华南,ACTIVE
800000097,EMP800000097,赵杰,华东销售部,APPROVER,专员,西南,ACTIVE
800000098,EMP800000098,吴杰颖,财务共享中心,FINANCE,专员,华东,ACTIVE
800000099,EMP800000099,王艳琳,风险控制部,SALES,专员,华北,ACTIVE
800000100,EMP800000100,张雪,信用管理部,FINANCE,专员,西南,ACTIVE
800000101,EMP800000101,周斌,应收管理部,FINANCE,专员,华南,ACTIVE
800000102,EMP800000102,陈洋,应收管理部,SALES,专员,华南,ACTIVE
800000103,EMP800000103,李磊,信用管理部,APPROVER,专员,西南,ACTIVE
800000104,EMP800000104,吴雪,风险控制部,APPROVER,专员,华东,ACTIVE
800000105,EMP800000105,郭勇琳,财务共享中心,SALES,专员,西南,ACTIVE
800000106,EMP800000106,张军,应收管理部,SALES,专员,华北,ACTIVE
800000107,EMP800000107,马杰凯,财务共享中心,APPROVER,专员,西南,ACTIVE
800000108,EMP800000108,王敏,应收管理部,SALES,专员,华南,ACTIVE
800000109,EMP800000109,刘杰倩,风险控制部,APPROVER,专员,华东,ACTIVE
800000110,EMP800000110,陈琳,风险控制部,SALES,专员,华南,ACTIVE
800000111,EMP800000111,郭伟,风险控制部,SALES,专员,华东,ACTIVE
800000112,EMP800000112,陈洋敏,应收管理部,FINANCE,专员,华南,ACTIVE
800000113,EMP800000113,朱超,华东销售部,FINANCE,专员,华北,ACTIVE
800000114,EMP800000114,徐雪,财务共享中心,FINANCE,专员,华南,ACTIVE
800000115,EMP800000115,胡伟,华南销售部,SALES,专员,华南,ACTIVE
800000116,EMP800000116,徐勇磊,应收管理部,SALES,专员,华北,ACTIVE
800000117,EMP800000117,郭倩,财务共享中心,APPROVER,专员,华北,ACTIVE
800000118,EMP800000118,孙峰,华东销售部,APPROVER,专员,华东,ACTIVE
800000119,EMP800000119,刘敏,华东销售部,FINANCE,专员,西南,ACTIVE
800000120,EMP800000120,徐艳,风险控制部,SALES,专员,西南,ACTIVE
